"","Estimator","Mean Fit Time","Mean Score Time","Mean MSE","Mean RMSE","Mean MAE","Mean R-Squared"
"1","LinearRegression",56.9967072963715,4.84223108291626,9444808.9507769,3073.24078958628,2249.33537243601,0.8060672378106
"2","Lasso",787.965765237808,3.13040318489075,9446957.22124016,3073.59028194067,2249.55020675395,0.806001924120494
"3","Ridge",26.9922922611237,5.03422436714172,9444701.58169581,3073.22332115579,2252.23280664291,0.806062786270763
"4","ElasticNet",54.4947043418884,6.13471345901489,31139231.9578118,5580.25375389075,4628.63769301089,0.358834729304393
"5","llars",46.8515528678894,8.00274038314819,10164815.4465827,3188.23077059718,2333.3081561305,0.79101265002378
"6","ExtraTreesRegressor",9321.51958174706,58.0629333019257,5562579.52963738,2358.51214320329,1604.99609310592,0.885874052156986
"7","RandomForestRegressor",16567.4611266613,13.9887411117554,5882618.89388603,2425.41107729928,1646.2854098478,0.879219046733442
"8","AdaBoostRegressor",8897.55066537857,26.8981855392456,18551963.360845,4307.19901569976,3544.48678228762,0.617356585995085
"9","GradientBoostingRegressor",6417.61613960266,8.16152138710022,6744402.86871345,2596.9988195441,1833.61658233157,0.861570008301348
"10","SVR",19170.8221278191,5221.66477918625,51217167.4970464,7156.6170427826,5926.7466607799,-0.0534926190426271
"11","KNeighborsRegressor",118.889317464828,15215.867385149,10107201.2298771,3179.18247822882,2246.60448364823,0.792850023838336
